"PSP_STUDYID","STANDID","SPECIES","TREEID","DBH","BEST_BIOMASS","JENKINS_BIOMASS"
"MRRS","AE10","ABPR","AE10000200040",153.8,24.1944,21.4429
"MRRS","AG05","PSME","AG05000100019",152.1,20.7044,23.4605
"MRRS","AG05","PSME","AG05000100019",151.9,20.6381,23.3856
"MRRS","AG05","PSME","AG05000100019",158.7,22.9622,26.0091
"MRRS","AG05","PSME","AG05000100019",154.5,21.5095,24.3693
"MRRS","AG05","PSME","AG05000100019",154.5,21.5095,24.3693
"MRRS","AG05","PSME","AG05000100019",156.1,22.0563,24.9865
"MRRS","AG05","PSME","AG05001200023",157.8,22.6462,25.6524
"MRRS","AG05","PSME","AG05001200023",162.0,24.1431,27.342
"MRRS","AG05","PSME","AG05001200023",164.1,24.9128,28.2108
"MRRS","AG05","PSME","AG05001200023",159.4,23.2098,26.2885
"MRRS","AG05","PSME","AG05001200023",160.0,23.4232,26.5295
"MRRS","AG05","PSME","AG05001200023",159.9,23.3876,26.4892
"MRRS","AO03","THPL","AO03000100001",193.3,18.2059,37.688
"MRRS","AO03","THPL","AO03000100001",194.6,18.5014,38.3168
"MRRS","AO03","THPL","AO03000100001",195.9,18.7997,38.9519
"MRRS","AO03","THPL","AO03000100001",197.1,19.0776,39.5436
"MRRS","AO03","THPL","AO03000100004",181.7,15.6907,32.3493
"MRRS","AO03","THPL","AO03000100004",189.9,17.446,36.0727
"MRRS","AO03","THPL","AO03000100004",192.0,17.9131,37.0654
"MRRS","AO03","THPL","AO03000100004",183.2,16.0037,33.0124
"MRRS","AO03","THPL","AO03000100004",184.7,16.3203,33.6835
"MRRS","AO03","THPL","AO03000100004",186.2,16.6405,34.3627
"MRRS","AO03","THPL","AO03000100004",187.8,16.9861,35.096
"MRRS","AO03","THPL","AO03000100008",192.5,18.0254,37.3041
"MRRS","AO03","THPL","AO03000100008",192.0,17.9131,37.0654
"MRRS","AO03","THPL","AO03000100008",191.9,17.8907,37.0178
"MRRS","AO03","THPL","AO03000100008",193.3,18.2059,37.688
"MRRS","AO03","THPL","AO03000100008",191.2,17.7343,36.6853
"MRRS","AO03","THPL","AO03000100008",191.5,17.8013,36.8276
"MRRS","AO03","THPL","AO03000100008",191.7,17.846,36.9226
"MRRS","AO03","THPL","AO03000100010",185.5,16.4906,34.0447
"MRRS","AO03","THPL","AO03000100010",190.6,17.6009,36.4018
"MRRS","AO03","THPL","AO03000100010",190.7,17.6231,36.449
"MRRS","AO03","THPL","AO03000100010",185.7,16.5334,34.1354
"MRRS","AO03","THPL","AO03000100010",185.9,16.5762,34.2262
"MRRS","AO03","THPL","AO03000100010",186.1,16.6191,34.3171
"MRRS","AO03","THPL","AO03000100010",187.4,16.8994,34.9118
"MRRS","AO03","THPL","AO03000100012",198.2,19.3344,40.0907
"MRRS","AO03","THPL","AO03000100012",204.5,20.8439,43.311
"MRRS","AO03","THPL","AO03000100012",206.3,21.2873,44.2585
"MRRS","AO03","THPL","AO03000100012",199.6,19.6641,40.7935
"MRRS","AO03","THPL","AO03000100012",201.0,19.9971,41.5036
"MRRS","AO03","THPL","AO03000100012",202.4,20.3333,42.221
"MRRS","AO03","THPL","AO03000100012",203.9,20.6972,42.9979
"MRRS","AO03","THPL","AO03000300009",175.1,14.3562,29.5267
"MRRS","AO03","THPL","AO03000300009",202.6,20.3816,42.3241
"MRRS","AO03","THPL","AO03000300009",207.7,21.636,45.0039
"MRRS","AO03","THPL","AO03000300009",182.7,15.899,32.7904
"MRRS","AO03","THPL","AO03000300009",187.5,16.921,34.9578
"MRRS","AO03","THPL","AO03000300009",194.5,18.4786,38.2682
"MRRS","AO03","THPL","AO03000300009",198.4,19.3813,40.1906
"MRRS","AO03","THPL","AO03000400014",231.1,27.9616,58.5832
"MRRS","AO03","THPL","AO03000400014",238.0,30.0094,63.0004
"MRRS","AO03","THPL","AO03000400014",240.0,30.6188,64.3167
"MRRS","AO03","THPL","AO03000400014",232.4,28.3409,59.4008
"MRRS","AO03","THPL","AO03000400014",233.7,28.7233,60.2252
"MRRS","AO03","THPL","AO03000400014",235.0,29.1086,61.0563
"MRRS","AO03","THPL","AO03000400014",235.2,29.1682,61.1848
"MRRS","AO03","THPL","AO03000400015",240.1,30.6494,64.383
"MRRS","AO03","THPL","AO03000400015",243.0,31.5463,66.3217
"MRRS","AO03","THPL","AO03000400015",245.0,32.1737,67.6789
"MRRS","AO03","THPL","AO03000400015",240.1,30.6494,64.383
"MRRS","AO03","THPL","AO03000400015",240.8,30.8645,64.8478
"MRRS","AO03","THPL","AO03000400015",241.8,31.1734,65.5153
"MRRS","AO03","THPL","AO03000400015",240.7,30.8338,64.7813
"MRRS","AO03","PSME","AO03000600005",210.7,45.808,51.7903
"MRRS","AO03","PSME","AO03000600005",223.0,52.5995,59.4539
"MRRS","AO03","PSME","AO03000600005",225.0,53.7565,60.7594
